movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
The Fix,"An L.A. prosecutor moves to Oregon after losing a high-profile murder case, but when the killer strikes again, she returns to seek justice under her own terms.","Robin Tunney, Adewale Akinnuoye-Agbaje, Merrin Dungey",Drama ,1 Hour,344359,4.95,1,461
Turn Up Charlie,"Charlie, a struggling DJ and eternal bachelor is given a final chance at success when he reluctantly becomes a manny to his famous best friends problem-child daughter.","Idris Elba, Piper Perabo, Frankie Hervey",Comedy ,30 Minutes,93956,4.72,1,462
The Disappearance of Madeleine McCann,"The story of Madeleine McCann, the young girl who went missing while on vacation in Portugal.","Alexander David, Fernando Lupach, Marisa Matos","Crime, Documentary ",1 Hour,83982,4.58,1,463
Love Death and Robots,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Nolan North, Matthew Yang King, Josh Brener","Animation, Comedy, Fantasy ",15 Minutes,151420,4.96,1,464
Shrill,A woman seeks out ways to change her life without changing her body.,"Lolly Adefope, Aidy Bryant, Luka Jones",Comedy ,30 Minutes,129446,4.5,2,465
Grisse,"Located in the middle of the 19th century, during the colonial era of Dutch India, the series ""Grise"" follows a group of unusual characters who launch a rebellion against a brutal governor and finally have a chance to decide their fate.","Adinia Wirasti, Marthino Lio, Alexandra Gottardo",Drama ,46 Minutes,144039,4.77,1,466
After Life,"After Tonys wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude taking his old world by storm.","Ricky Gervais, Tom Basden, David Bradley",Comedy ,30 Minutes,187196,4.83,2,467
Shadow,"In Johannesburg, tough ex-cop Shadow pursues justice on his own terms and seeks to help those who are powerless to protect themselves.","Pallance Dladla, Khathu Ramabulana, Amanda Du-Pont",Action ,44 Minutes,207042,4.66,1,468
The Order,"Out to avenge his mothers death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.","Jake Manley, Sarah Grey, Adam DiMarco","Drama, Fantasy, Horror ",1 Hour,299083,4.93,2,469
Sherwood,"All her life, teen-hacker Robin of Sherwood thought she was an orphan. But when a mysterious Gauntlet unlocks a secret that turns her world upside down, Robin joins forces with a group of renegades who teach her the true value of love, loyalty, and sacrifice. Through the flooded storm-lashed streets of 23rd century London, to the towering citadel of the floating Upper City, Robin and her new friends battle the elements and the odds to defeat the mad Sheriff of Nottingham.","Anya Chalotra, Tyler Posey, Aneurin Barnard","Action, Adventure, Sci-Fi ",22 Minutes,154444,4.77,1,470
MotherFatherSon,"A psycho-thriller set within systems of power in politics, media, and the police.","Richard Gere, Billy Howle, Helen McCrory",Thriller ,1 Hour,117214,4.76,1,471
Diggstown,"DIGGSTOWN follows Marcie Diggs (Vinessa Antoine, Being Erica, Heartland), a star corporate lawyer who reconsiders her priorities after her beloved aunt commits suicide following a malicious prosecution. The team of lawyers that Marcie works with are a curious band of do-gooders, cynics and scrappers - messy souls struggling to keep personal disappointment and demons out of their practice.","Vinessa Antoine, Stacey Farber, C. David Johnson","Action, Drama, Thriller ",44 Minutes,142536,4.85,2,472
White Gold,"The story of a double-glazing showroom in Essex in 1983, led by charismatic salesman Vincent who is smart, handsome and cocksure, He will happily break the rules if it guarantees a sale.","Ed Westwick, Bobby Smalldridge, James Buckley",Comedy ,30 Minutes,139852,5,2,473
The Name of the Rose,A friar investigates a series of mysterious deaths at an abbey. Television adaptation of Umberto Ecos novel The Name of the Rose.,"Fabrizio Bentivoglio, James Cosmo, Michael Emerson","Drama, History, Mystery ",1 Hour,114771,5,1,474
Street Legal,"Olivia Novak returns with a new generation of lawyers in STREET LEGAL, a character-driven legal drama that follows the professional and private lives of a group of ambitious law partners at a startup firm in Toronto. Together, they vigorously fight for their clients while testing the limits of their relationships inside and outside of the courts.","Cynthia Dale, Cara Ricketts, Steve Lund",Drama ,45 Minutes,181522,4.88,1,475
A.P. Bio,"A former philosophy professor who takes a job teaching AP biology, uses his students to get back at the people in his life who have wronged him.","Aparna Brielle, Jacob Houston, Allisyn Ashley Arm",Comedy ,21 Minutes,185855,4.82,2,476
Derry Girls,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,"Saoirse-Monica Jackson, Louisa Harland, Nicola Coughlan",Comedy ,30 Minutes,130218,4.87,2,477
Fleabag,A six-part comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Phoebe Waller-Bridge, Sian Clifford, Jenny Rainsford","Comedy, Drama ",27 Minutes,121323,4.47,2,478
Secret City,"Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.","Anna Torv, Jacki Weaver, Marcus Graham","Mystery, Thriller ",49 Minutes,189075,4.5,2,479
Northern Rescue,"The family drama Northern Rescue, stars William Baldwin and Kathleen Robertson. After the death of his wife, Sarah, John West (Baldwin), packs up his three children and moves from their hectic urban life to his small northern hometown to take command of the local search-and-rescue service.","William Baldwin, Kathleen Robertson, Amalia Williamson","Drama, Family ",43 Minutes,113692,4.65,1,480
The Widow,"A womans search to uncover the mysterious disappearance of her husband leads her to the Congo, where shes forced to seek the truth about what happened to the man she loved.","Kate Beckinsale, Alex Kingston, Babs Olusanmokun",Thriller ,1 Hour,151843,4.81,1,481
The Enemy Within,FBI Agent Will Keaton enlists the most notorious traitor in American history to help catch a spy.,"James Carpinello, Morris Chestnut, Cassandra Freeman",Drama ,45 Minutes,583902,4.91,1,482
Whiskey Cavalier,"An FBI agent and his new partner, a CIA operative, embark on missions to save the world, but have to put up with each other first.","Lauren Cohan, Scott Foley, David Fynn","Action, Adventure, Comedy ",1 Hour,419092,4.94,1,483
Curfew,A group of amateur drivers from all over the world compete in an illegal night-time street race.,"Sean Bean, Ike Bennett, Adam Brody","Action, Crime, Drama ",1 Hour,229833,4.84,1,484
Flack,"A publicist is adept at keeping her client's lives appearing in perfect order, while her own falls to pieces.","Anna Paquin, Lydia Wilson, Rufus Jones",Comedy ,30 Minutes,193126,4.79,2,485
Baptiste,"The mercurial detective, Julien Baptiste, on holiday in Amsterdam with his wife, assists in an investigation for his former girlfriend, the Amsterdam Chief of Police.","Tcheky Karyo, Tom Hollander, Anastasia Hille",Drama ,1 Hour,131056,4.71,1,486
Traitors,A British civil servant agrees to spy on her own government for the Americans in the aftermath of WWII.,"Emma Appleton, Michael Stuhlbarg, Keeley Hawes",Thriller ,45 Minutes,186055,4.89,1,487
The Umbrella Academy,"A disbanded group of superheroes reunite after their adoptive father, who trained them to save the world, dies.","Aidan Gallagher, Cameron Britton, Eden Cupid","Action, Adventure, Crime ",1 Hour,414472,4.87,1,488
Doom Patrol,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"Diane Guerrero, April Bowlby, Alan Tudyk","Action, Adventure, Drama ",1 Hour,477581,4.84,1,489
Proven Innocent,A legal team takes on cases involving wrongful convictions.,"Clare O Connor, Caitlin Mehner, Laurie Holden",Drama ,1 Hour,305924,4.87,1,490
Weird City,A look at the life and people living in a futuristic town called Weird.,"Anthony Holiday, Emily Kosloski, Cynthy Wu","Comedy, Sci-Fi ",30 Minutes,180888,4.08,1,491
Miracle Workers,"A comedy set in the offices of Heaven Inc. When God plans to destroy the Earth, two low-level angels must convince their boss to save humanity. They bet him they can pull off their most impossible miracle yet: help two humans fall in love.","Steve Buscemi, Daniel Radcliffe, Geraldine Viswanathan","Comedy, Romance ",30 Minutes,225272,4.7,2,492
Shetland,DI Jimmy Perez and his team investigate crimes within the close knit island community of Shetland.,"Douglas Henshall, Alison O'Donnell, Steven Robertson","Crime, Drama, Mystery ",1 Hour,89055,3.14,1,493
One Day at a Time,"Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother.","Justina Machado, Isabella Gomez, Rita Moreno",Comedy ,30 Minutes,143397,4.73,2,494
PEN15,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.,"Maya Erskine, Anna Konkle, Mutsuko Erskine",Comedy ,30 Minutes,194150,4.41,1,495
Man with a Plan,A dad finds out that parenting is harder than he thought after his wife goes back to work and hes left at home to take care of the kids.,"Matt LeBlanc, Liza Snyder, Matt Cook",Comedy ,30 Minutes,258469,4.73,2,496
Hanna,"A high-concept thriller and coming-of-age drama, Hanna follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.","Esme Creed-Miles, Mireille Enos, Joel Kinnaman","Action, Drama ",1 Hour,389635,4.85,1,497
Russian Doll,A young woman in New York tries to escape from a party thats being thrown in her honor.,"Natasha Lyonne, George Aloi, Elizabeth Ashley",Comedy ,30 Minutes,150163,4.7,1,498
Pure,"Marnie is not OK. She's had x-rated thoughts for the last 3672 days and she doesn't know why or what they mean. When she jumps on a coach to London, she doesn't know a soul, not even herself, but in the city she will build a new life.","Niamh Algar, Charly Clive, Joe Cole","Comedy, Drama ",45 Minutes,208167,4.56,1,499
Medici Masters of Florence,"A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.","Richard Madden, Stuart Martin, Annabel Scholey","Biography, Drama, History ",1 Hour,148391,4.57,2,500
I Am the Night,"Inspired by true events, ""I Am the Night"" tells the gripping story of Fauna Hodel (India Eisley), a teenage girl who is given away at birth, and grows up outside of Reno, Nevada. Fauna lives more-or-less comfortably with the mysteries of her origin, until one day she makes a discovery that leads her to question everything. As Fauna begins to investigate the secrets of her past, she meets a ruined reporter (Chris Pine), haunted by the case that undid him. Together they follow a sinister trail that swirls ever closer to an infamous Los Angeles gynecologist, Dr. George Hodel (Jefferson Mays), a man involved in some of Hollywood's darkest debauchery, and possibly, its most infamous unsolved crime.","Chris Pine, India Eisley, Jefferson Mays","Drama, Mystery ",1 Hours,184565,4.66,1,501
Broad City,"Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.","Ilana Glazer, Abbi Jacobson, Hannibal Buress",Comedy ,22 Minutes,84796,4.26,1,502
High Maintenance,A comedy that explores the private lives of unique New York individuals through a common thread: their weed deliveryman.,"Ben Sinclair, Yael Stone, Kate Lyn Sheil","Comedy, Drama ",30 Minutes,165589,4.51,2,503
Carmen Sandiego,"The series follows the adventures of Carmen Sandiego, a globe-hopping master thief.","Mary Elizabeth McGlynn, Kari Wahlgren, Gina Rodriguez","Adventure, Animation, Family ",22 Minutes,186180,4.91,2,504
Grace and Frankie,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.","June Diane Raphael, Jane Fonda, Lily Tomlin",Comedy ,30 Minutes,75975,3.78,2,505
Little Dog,"Five years after quitting a match, boxer Tommy ""Little Dog"" Ross begins a quest for redemption.","Joel Thomas Hynes, Ger Ryan, Katharine Isabelle",Comedy ,22 Minutes,76508,4.34,1,506
